Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,No. of Trades
INFY,EQ,16-Mar-20,642.35,622,622.15,580,583.2,583.15,597.37,19140854,11434179964,462293
INFY,EQ,17-Mar-20,583.15,588.1,592,550,560,554.95,571.99,16060126,9186285698,359329
INFY,EQ,18-Mar-20,554.95,568,578,528,531.7,534.3,552.92,15391568,8510344347,235885
INFY,EQ,19-Mar-20,534.3,509.25,558,509.25,551.8,545.55,540.83,16584106,8969244995,313532
INFY,EQ,20-Mar-20,545.55,549.5,617.45,548,580.9,585.2,585.1,21356183,12495510371,407561
INFY,EQ,23-Mar-20,585.2,540,560.95,515.9,529.15,526.45,531.33,17146303,9110393753,258952
INFY,EQ,24-Mar-20,526.45,522,601.15,522,600,589.8,572.73,20029537,11471457437,434375
INFY,EQ,25-Mar-20,589.8,597,635,565.7,607,606.2,596.75,18339650,10944193384,429544
INFY,EQ,26-Mar-20,606.2,615,650.85,612.1,640,643,638.74,14868843,9497347855,291975
INFY,EQ,27-Mar-20,643,665.05,674.9,642.25,655,652.7,653.79,13495469,8823242465,262091
INFY,EQ,30-Mar-20,652.7,625.1,663.5,621.1,623.8,626.7,638.82,14625720,9343228364,230047
INFY,EQ,31-Mar-20,626.7,650,662,633.7,639.6,641.5,647.8,15175528,9830768498,279311
INFY,EQ,01-Apr-20,641.5,634.35,637.5,594,603.9,602.8,611.89,13083865,8005888361,379235
INFY,EQ,03-Apr-20,602.8,603.5,606,582.15,588.5,585.7,592.53,10221890,6056725608,261228
INFY,EQ,07-Apr-20,585.7,615,644.25,612.9,633.8,639,627.65,15146526,9506714566,260480
INFY,EQ,08-Apr-20,639,630,655.65,626.35,632.25,631.6,637.44,11806901,7526162136,235881
INFY,EQ,09-Apr-20,631.6,646.8,652.8,632.1,635.6,636.25,640.28,11931287,7639338597,232901
INFY,EQ,13-Apr-20,636.25,629,651.7,626.05,637,637.4,641.21,8330291,5341425789,232090
INFY,EQ,15-Apr-20,637.4,651.4,653.3,635.6,640,639.05,645.85,11963493,7726657237,278339
INFY,EQ,16-Apr-20,639.05,619.95,634.9,603.5,626.9,623.85,620.5,17783310,11034508895,254606
INFY,EQ,17-Apr-20,623.85,644,646,626,634.2,628.75,633.5,8878372,5624422628,220448
INFY,EQ,20-Apr-20,628.75,640,661,639,650.95,653.3,653.71,13322995,8709344590,220363
INFY,EQ,21-Apr-20,653.3,627.8,646.5,627.8,633,633.2,638.34,11660678,7443524923,195803
INFY,EQ,22-Apr-20,633.2,633.2,645,628.05,641.5,641.85,639.85,8267159,5289759466,148917
INFY,EQ,23-Apr-20,641.85,647.05,683.65,638.1,675,679.3,665.09,14451294,9611440871,225884
INFY,EQ,24-Apr-20,679.3,668.55,675,654.8,660.95,658,662.5,7319950,4849470612,162251
INFY,EQ,27-Apr-20,658,661.05,681,661.05,665.1,664.6,670.63,7183316,4817370468,143869
INFY,EQ,28-Apr-20,664.6,673,677,653.05,664.05,660.7,659.88,7296594,4814874279,128788
INFY,EQ,29-Apr-20,660.7,666,682,658,678,676.55,671.94,8639246,5805084866,175742
INFY,EQ,30-Apr-20,676.55,700,720,698.1,715.05,715.5,711.47,16254036,11564226726,277142
INFY,EQ,04-May-20,715.5,689.8,701.2,670.35,675.15,673.7,686.15,9122803,6259591493,177978
INFY,EQ,05-May-20,673.7,681.75,685.6,670,674.5,673.7,679.28,6393108,4342730627,132076
INFY,EQ,06-May-20,673.7,676.9,681.45,664.05,667,665.9,671.02,7934457,5324157713,211094
INFY,EQ,07-May-20,665.9,665.55,674.35,662.45,666.7,664.95,668.79,4779550,3196499217,93851
INFY,EQ,08-May-20,664.95,672.25,680.9,668.5,676,674.2,674.96,8400376,5669937480,206669
INFY,EQ,11-May-20,674.2,682.5,698.55,678,683.75,682.9,688.95,7370192,5077673284,157658
INFY,EQ,12-May-20,682.9,678.5,691,675.5,687,687.65,684.84,7356063,5037715533,165655
INFY,EQ,13-May-20,687.65,694.8,699.9,683.75,693.75,694.15,693.94,8287106,5750758216,156513
INFY,EQ,14-May-20,694.15,659,671.75,652.6,658.2,658.15,662.77,16888356,11193113876,284577
INFY,EQ,15-May-20,658.15,664.8,664.8,646.7,652.3,652.3,652.46,9255353,6038757599,159733
INFY,EQ,18-May-20,652.3,659.85,670.55,653,659.6,663.9,663.53,10435495,6924280885,160262
INFY,EQ,19-May-20,663.9,664,674.8,655,670,668.6,668.12,5902238,3943378544,121850
INFY,EQ,20-May-20,668.6,668.5,673,659.65,666,669.55,666.46,5795193,3862248244,104746
INFY,EQ,21-May-20,669.55,666.5,679.45,665.4,673,672.2,672.37,7214401,4850780460,122009
INFY,EQ,22-May-20,672.2,675,695.85,673.5,692,692.35,688.38,11867864,8169629532,201776
INFY,EQ,26-May-20,692.35,693,699.45,679,681.3,680.55,689.51,7099719,4895318484,122600
INFY,EQ,27-May-20,680.55,686.05,709.2,675,706.2,705.45,693.83,8774694,6088143746,155415
INFY,EQ,28-May-20,705.45,707,710,690,706,707.4,699.96,9440121,6607699864,141590
INFY,EQ,29-May-20,707.4,692.5,700.8,674.95,692,691,690.78,28291172,19543032832,241793
INFY,EQ,01-Jun-20,691,698.75,706.65,691.5,699.55,699.55,700.27,12276649,8596981340,166839
INFY,EQ,02-Jun-20,699.55,700.5,711.65,697.55,708.2,708.1,706.32,7059409,4986183795,123937
INFY,EQ,03-Jun-20,708.1,710.7,711.9,696,702.85,701.55,702.71,11378568,7995869972,179242
INFY,EQ,04-Jun-20,701.55,702,709.45,697.5,707.05,707.75,704.17,10783594,7593495551,134508
INFY,EQ,05-Jun-20,707.75,707,711.7,700.6,704.75,703.55,705.8,7718943,5448030852,124734
INFY,EQ,08-Jun-20,703.55,707.65,725.8,704,722.05,720.85,718.75,10719124,7704389373,180849
INFY,EQ,09-Jun-20,720.85,720,729.6,715.05,715.05,717.6,721.62,10078863,7273061785,173628
INFY,EQ,10-Jun-20,717.6,715,719.45,709.2,714.95,715.85,715.57,7263272,5197377191,121854
INFY,EQ,11-Jun-20,715.85,712,713.4,700.25,703.8,703.95,707.7,8825914,6246123986,140529
INFY,EQ,12-Jun-20,703.95,675.8,695.15,675.5,691,692.05,686.35,9796064,6723519558,165667
INFY,EQ,15-Jun-20,692.05,693,704.4,685.25,688.05,687.55,692.55,7857344,5441612327,105262
